# epsilon,omega-init,avdiff (trials=20)
0.01,2,0.0279
0.01,6,0.0417
0.01,10,0.0150
0.01,14,0.0214
0.05,2,0.0250
0.05,6,0.0167
0.05,10,0.0200
0.05,14,0.0286
0.09,2,-0.0000
0.09,6,0.0250
0.09,10,-0.0000
0.09,14,0.0357
0.13,2,0.0250
0.13,6,0.0167
0.13,10,0.0250
0.13,14,0.0429
0.17,2,0.0250
0.17,6,0.0250
0.17,10,0.0200
0.17,14,0.0143
0.21,2,-0.0000
0.21,6,0.0167
0.21,10,0.0150
0.21,14,0.0214
0.25,2,-0.0000
0.25,6,0.0250
0.25,10,0.0250
0.25,14,0.0250
0.29,2,-0.0000
0.29,6,0.0167
0.29,10,0.0300
0.29,14,0.0250
0.33,2,-0.0000
0.33,6,0.0167
0.33,10,0.0150
0.33,14,0.0321
0.37,2,-0.0000
0.37,6,0.0083
0.37,10,0.0250
0.37,14,0.0214
