# epsilon,trials,avdiff (omega=n)
0.01,10,0.1036
0.01,20,0.0949
0.01,30,0.0977
0.01,40,0.0875
0.01,50,0.1120
0.01,60,0.0883
0.01,70,0.0814
0.01,80,0.0912
0.01,90,0.1078
0.05,10,0.0900
0.05,20,0.0850
0.05,30,0.0900
0.05,40,0.1150
0.05,50,0.1040
0.05,60,0.0783
0.05,70,0.1071
0.05,80,0.0862
0.05,90,0.0856
0.09,10,0.0600
0.09,20,0.0950
0.09,30,0.1067
0.09,40,0.0825
0.09,50,0.0900
0.09,60,0.1067
0.09,70,0.1300
0.09,80,0.1137
0.09,90,0.0789
0.13,10,0.1400
0.13,20,0.0950
0.13,30,0.0833
0.13,40,0.0875
0.13,50,0.1060
0.13,60,0.1000
0.13,70,0.1014
0.13,80,0.0912
0.13,90,0.0811
0.17,10,0.1100
0.17,20,0.1100
0.17,30,0.0800
0.17,40,0.0775
0.17,50,0.0660
0.17,60,0.1000
0.17,70,0.1286
0.17,80,0.0987
0.17,90,0.0822
0.21,10,0.1200
0.21,20,0.1250
0.21,30,0.1400
0.21,40,0.1025
0.21,50,0.0880
0.21,60,0.0833
0.21,70,0.1200
0.21,80,0.1087
0.21,90,0.1100
0.25,10,0.0700
0.25,20,0.0900
0.25,30,0.1233
0.25,40,0.1100
0.25,50,0.1200
0.25,60,0.0917
0.25,70,0.1100
0.25,80,0.0887
0.25,90,0.0956
0.29,10,0.1300
0.29,20,0.1100
0.29,30,0.1167
0.29,40,0.1125
0.29,50,0.1200
0.29,60,0.1017
0.29,70,0.1300
0.29,80,0.0837
0.29,90,0.1000
0.33,10,0.0500
0.33,20,0.1100
0.33,30,0.0867
0.33,40,0.0925
0.33,50,0.0800
0.33,60,0.0967
0.33,70,0.1000
0.33,80,0.1012
0.33,90,0.1056
0.37,10,0.0800
0.37,20,0.1550
0.37,30,0.0967
0.37,40,0.1050
0.37,50,0.1000
0.37,60,0.0900
0.37,70,0.0986
0.37,80,0.0762
0.37,90,0.1100
